127.0.0.1 - - [27/May/2022:14:27:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/May/2022:14:27:29 +0900] "GET /1_MyBatis/index.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [27/May/2022:14:27:29 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2022:14:27:29 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [27/May/2022:14:28:33 +0900] "GET /1_MyBatis/index.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [27/May/2022:14:28:33 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2022:14:28:33 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [27/May/2022:14:28:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2022:14:30:00 +0900] "GET /1_MyBatis/index.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [27/May/2022:14:30:00 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [27/May/2022:14:30:22 +0900] "GET /1_MyBatis/index.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [27/May/2022:14:30:22 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [27/May/2022:14:30:23 +0900] "GET /1_MyBatis/index.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [27/May/2022:14:30:23 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [27/May/2022:14:30:40 +0900] "GET /1_MyBatis/index.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [27/May/2022:14:30:40 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 200 79864
0:0:0:0:0:0:0:1 - - [27/May/2022:14:32:42 +0900] "GET /1_MyBatis/index.jsp HTTP/1.1" 500 3406
0:0:0:0:0:0:0:1 - - [27/May/2022:14:35:47 +0900] "GET /1_MyBatis/index.jsp HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [27/May/2022:14:35:47 +0900] "GET /js/jquery-3.4.1.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/May/2022:14:35:47 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:14:43:43 +0900] "GET /1_MyBatis/index.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [27/May/2022:14:43:43 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/May/2022:14:43:43 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 304 -
