127.0.0.1 - - [22/Jun/2022:12:39:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:39:44 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:39:44 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:39:44 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 200 79864
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:39:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:39:46 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:40:37 +0900] "POST /1_MyBatis/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:40:37 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:40:37 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:40:37 +0900] "GET /1_MyBatis/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:40:40 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:40:51 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:40:53 +0900] "GET /1_MyBatis/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:40:53 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:40:53 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:40:56 +0900] "POST /1_MyBatis/login.me HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:41:06 +0900] "POST /1_MyBatis/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:41:06 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:41:06 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:41:09 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:41:11 +0900] "GET /1_MyBatis/selectOne.bo?bId=13 HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:41:17 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [22/Jun/2022:12:41:19 +0900] "GET /1_MyBatis/selectOne.bo?bId=13 HTTP/1.1" 200 3886
